"e","a","q","i"
0.1868,3.166,2.575,7.37
0.1508,2.221,1.886,4.38
0.2472,2.652,1.997,14.89
0.0947,2.998,2.714,28.84
0.0783,2.858,2.634,16.67
0.1664,3.049,2.542,5.56
0.0664,3.012,2.812,9.26
0.1663,2.932,2.445,18.24
0.1161,3.216,2.843,12.90
0.2562,3.18,2.365,13.71
0.2270,2.665,2.060,14.57
0.0967,3.113,2.812,19.08
0.1194,3.216,2.832,19.14
0.0389,2.18,2.095,5.26
0.2299,2.343,1.804,9.34
0.2412,3.099,2.352,12.28
0.2095,2.57,2.032,12.77
0.1591,3.175,2.670,14.52
0.1295,2.54,2.211,14.85
0.1358,3.121,2.697,14.36
0.1473,2.686,2.291,10.78
0.1544,3.408,2.882,20.54
0.1925,3.125,2.523,16.38
0.1316,2.621,2.276,8.63
0.1238,2.796,2.450,15.78
0.2955,3.131,2.206,5.42
0.1017,2.749,2.469,19.05
0.3199,2.636,1.792,19.05
0.0600,2.535,2.383,4.51
0.0350,3.013,2.908,9.24
0.0223,2.543,2.486,5.28
0.2013,2.193,1.751,4.26
0.0763,2.606,2.407,14.14
0.0793,2.196,2.022,5.20
0.0636,3.196,2.993,8.66
0.1419,2.839,2.436,15.39
0.1861,3.194,2.600,15.73
0.0810,3.204,2.944,14.22
0.0613,3.024,2.839,11.29
0.1296,2.744,2.388,4.72
0.1927,2.283,1.843,7.15
0.1804,2.179,1.786,2.61
0.0709,2.897,2.692,3.14
0.1652,2.66,2.220,13.30
0.0253,2.223,2.167,6.30
0.3054,3.158,2.194,21.79
0.0744,2.661,2.463,13.87
0.1070,3.005,2.683,14.32
0.1810,2.589,2.120,11.34
0.0905,3.17,2.883,15.63
0.1423,2.197,1.884,4.90
0.0505,3.128,2.970,5.93
